Species;Group
Acetes japonicus;Crustacean
Callinectes sapidus;Crustacean
Carcinus aestuarii;Crustacean
Carcinus maenas;Crustacean
Maja squinado;Crustacean
Melicertus kerathurus;Crustacean
Metapenaeus ensis;Crustacean
Metapenaeus monoceros;Crustacean
Palaemon serratus;Crustacean
Panulirus argus;Crustacean
Panulirus polyphagus;Crustacean
Penaeus monodon;Crustacean
Penaeus penicillatus;Crustacean
Penaeus semisulcatus;Crustacean
Portunus pelagicus;Crustacean
Portunus trituberculatus;Crustacean
Scylla serrata;Crustacean
Thenus orientalis;Crustacean
Apostichopus japonicus;Echinoderm
Loxechinus albus;Echinoderm
Paracentrotus lividus;Echinoderm
Acanthopagrus berda;Finfish
Acanthopagrus bifasciatus;Finfish
Acanthopagrus schlegelii;Finfish
Acipenser nudiventris;Finfish
Acipenser stellatus;Finfish
Anarhichas lupus;Finfish
Anarhichas minor;Finfish
Anguilla anguilla;Finfish
Anguilla australis;Finfish
Anguilla japonica;Finfish
Anguilla rostrata;Finfish
Argyrosomus hololepidotus;Finfish
Argyrosomus japonicus;Finfish
Argyrosomus regius;Finfish
Atherina boyeri;Finfish
Bolbometopon muricatum;Finfish
Carangoides malabaricus;Finfish
Caranx hippos;Finfish
Caranx ignobilis;Finfish
Caranx sexfasciatus;Finfish
Centropomus undecimalis;Finfish
Centropristis striata;Finfish
Chaetodipterus faber;Finfish
Chanos chanos;Finfish
Cromileptes altivelis;Finfish
Decapterus macrosoma;Finfish
Dentex dentex;Finfish
Dentex gibbosus;Finfish
Dentex tumifrons;Finfish
Dicentrarchus labrax;Finfish
Dicentrarchus punctatus;Finfish
Diplodus puntazzo;Finfish
Diplodus vulgaris;Finfish
Eleutheronema tetradactylum;Finfish
Epinephelus akaara;Finfish
Epinephelus areolatus;Finfish
Epinephelus bruneus;Finfish
Epinephelus chlorostigma;Finfish
Epinephelus coioides;Finfish
Epinephelus fuscoguttatus;Finfish
Epinephelus lanceolatus;Finfish
Epinephelus malabaricus;Finfish
Epinephelus tauvina;Finfish
Gadus morhua;Finfish
Helicolenus dactylopterus;Finfish
Hexagrammos otakii;Finfish
Hippoglossus hippoglossus;Finfish
Huso huso;Finfish
Konosirus punctatus;Finfish
Larimichthys crocea;Finfish
Lateolabrax japonicus;Finfish
Lates calcarifer;Finfish
Lethrinus miniatus;Finfish
Lutjanus argentimaculatus;Finfish
Lutjanus bohar;Finfish
Lutjanus erythropterus;Finfish
Lutjanus guttatus;Finfish
Lutjanus johnii;Finfish
Lutjanus malabaricus;Finfish
Lutjanus purpureus;Finfish
Megalops atlanticus;Finfish
Melanogrammus aeglefinus;Finfish
Micropogonias furnieri;Finfish
Miichthys miiuy;Finfish
Morone saxatilis;Finfish
Mugil cephalus;Finfish
Mugil curema;Finfish
Mugil liza;Finfish
Muraenesox cinereus;Finfish
Mycteroperca bonaci;Finfish
Naso vlamingii;Finfish
Oncorhynchus gorbuscha;Finfish
Oncorhynchus keta;Finfish
Oncorhynchus kisutch;Finfish
Oncorhynchus mykiss;Finfish
Oncorhynchus nerka;Finfish
Oncorhynchus tshawytscha;Finfish
Oplegnathus fasciatus;Finfish
Pagellus bogaraveo;Finfish
Pagellus erythrinus;Finfish
Pagrus auratus;Finfish
Pagrus auriga;Finfish
Pagrus caeruleostictus;Finfish
Pagrus major;Finfish
Pagrus pagrus;Finfish
Paralichthys olivaceus;Finfish
Platax orbicularis;Finfish
Platichthys flesus;Finfish
Pleurogrammus azonus;Finfish
Pollachius pollachius;Finfish
Polydactylus sexfilis;Finfish
Pomatomus saltatrix;Finfish
Pseudopleuronectes americanus;Finfish
Rachycentron canadum;Finfish
Rhabdosargus sarba;Finfish
Salmo salar;Finfish
Salmo trutta;Finfish
Schedophilus ovalis;Finfish
Sciaena umbra;Finfish
Sciaenops ocellatus;Finfish
Scomber japonicus;Finfish
Scophthalmus maximus;Finfish
Scophthalmus rhombus;Finfish
Seriola dumerili;Finfish
Seriola lalandi;Finfish
Seriola rivoliana;Finfish
Siganus canaliculatus;Finfish
Siganus lineatus;Finfish
Siganus sutor;Finfish
Solea senegalensis;Finfish
Solea solea;Finfish
Sparidentex hasta;Finfish
Sparus aurata;Finfish
Takifugu rubripes;Finfish
Terapon jarbua;Finfish
Thunnus albacares;Finfish
Thunnus maccoyii;Finfish
Thunnus orientalis;Finfish
Thunnus thynnus;Finfish
Trachinotus blochii;Finfish
Trachinotus carolinus;Finfish
Trachinotus ovatus;Finfish
Trachurus japonicus;Finfish
Umbrina cirrosa;Finfish
Pseudocaranx dentex;Finfish
Liza ramada;Finfish
Aequipecten opercularis;Mollusc
Anadara tuberculosa;Mollusc
Argopecten irradians;Mollusc
Argopecten ventricosus;Mollusc
Asaphis violascens;Mollusc
Aulacomya ater;Mollusc
Bolinus brandaris;Mollusc
Cerastoderma edule;Mollusc
Cerastoderma glaucum;Mollusc
Chamelea gallina;Mollusc
Choromytilus chorus;Mollusc
Crassostrea rhizophorae;Mollusc
Crassostrea virginica;Mollusc
Ensis directus;Mollusc
Haliotis midae;Mollusc
Haliotis rufescens;Mollusc
Haliotis tuberculata;Mollusc
Hippopus hippopus;Mollusc
Mercenaria mercenaria;Mollusc
Meretrix lusoria;Mollusc
Mizuhopecten yessoensis;Mollusc
Mya arenaria;Mollusc
Mytilus coruscus;Mollusc
Mytilus edulis;Mollusc
Mytilus galloprovincialis;Mollusc
Ostrea edulis;Mollusc
Pecten jacobaeus;Mollusc
Pecten maximus;Mollusc
Perna perna;Mollusc
Perna viridis;Mollusc
Pinctada maxima;Mollusc
Placopecten magellanicus;Mollusc
Ruditapes decussatus;Mollusc
Ruditapes philippinarum;Mollusc
Saxidomus gigantea;Mollusc
Sepia officinalis;Mollusc
Tegillarca granosa;Mollusc
Tresus nuttallii;Mollusc
Tridacna gigas;Mollusc
Tridacna maxima;Mollusc
Tridacna squamosa;Mollusc
Turbo cornutus;Mollusc
Turbo setosus;Mollusc
Venerupis corrugata;Mollusc
Venus verrucosa;Mollusc
