"","EEZ","seaBasn","country","Average","Max"
"3","American Samoa Exclusive Economic Zone","South Pacific Ocean","United States",0.0522074278530743,0.123598071672531
"4","Amsterdam Island & St. Paul Island Exclusive Economic Zone","Indian Ocean","France",0.882074959083461,1.1871384119272
"12","Australian Exclusive Economic Zone","Arafura Sea","Australia",0.588365040160667,8.20953615160139
"16","Bangladeshi Exclusive Economic Zone","Bay of Bengal","Bangladesh",1.37482991824749,1.77552966289747
"18","Bassas da India Exclusive Economic Zone","Mozambique Channel","France",0.408752489954421,0.489330620335784
"28","Bruneian Exclusive Economic Zone","South China Sea","Brunei",1.08170490945108,1.39957796418751
"35","Chagos Archipelago Exclusive Economic Zone","Indian Ocean","Mauritius",0.372917488954427,1.09328138553954
"36","Chilean Exclusive Economic Zone","South Atlantic Ocean","Chile",0.109979968766627,0.218820526443768
"37","Chilean Exclusive Economic Zone (Easter Island)","South Pacific Ocean","Chile",2.04153217240669,2.30098775429288
"38","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)","South Pacific Ocean","Chile",0.136822166885793,0.190392321158897
"39","Chinese Exclusive Economic Zone","Eastern China Sea","China",1.48424917131475,4.32391199623251
"41","Clipperton Exclusive Economic Zone","North Pacific Ocean","France",0.811584028110492,0.856149226151126
"42","Cocos Islands Exclusive Economic Zone","Indian Ocean","Australia",0.516867977782613,0.556936740424172
"43","Colombian Exclusive Economic Zone","Caribbean Sea","Colombia",3.48061749626681,5.74271842884711
"48","Comoran Exclusive Economic Zone","Indian Ocean","Comores",0.324848119146384,0.401075725554522
"50","Cook Islands Exclusive Economic Zone","South Pacific Ocean","New Zealand",0.870516218738751,2.35035549961659
"51","Costa Rican Exclusive Economic Zone","Caribbean Sea","Costa Rica",3.63732980624638,5.74271842884711
"63","East Timorian Exclusive Economic Zone","Banda Sea","East Timor",4.06500152963085,7.46540357669398
"64","Ecuadorian Exclusive Economic Zone","North Pacific Ocean","Ecuador",2.79037820003684,3.78668625625735
"65","Ecuadorian Exclusive Economic Zone (Galapagos)","North Pacific Ocean","Ecuador",3.65053106549039,4.92806120939777
"67","El Salvador Exclusive Economic Zone","North Pacific Ocean","El Salvador",4.28523718730869,6.75991133033502
"69","Eritrean Exclusive Economic Zone","Red Sea","Eritrea",0.744926286298865,0.758025315397966
"72","Fijian Exclusive Economic Zone","South Pacific Ocean","Fiji",0.659491434251864,8.2923610758136
"76","French Polynesian Exclusive Economic Zone","South Pacific Ocean","France",0.460031615945377,4.27017589620629
"86","Guam Exclusive Economic Zone","North Pacific Ocean","United States",0.235381250583843,0.354009997201042
"87","Guatemalan Exclusive Economic Zone","Caribbean Sea","Guatemala",3.99582064062359,6.75991133033502
"94","Honduran Exclusive Economic Zone","Caribbean Sea","Honduras",4.45621312021141,4.70975714940678
"97","Ile Europa Exclusive Economic Zone","Mozambique Channel","France",0.408752489954421,0.489330620335784
"98","Indian Exclusive Economic Zone","Arabian Sea","India",1.30955212358153,4.19684721554844
"99","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","Andaman Sea","India",1.37527434714248,7.35963914250378
"100","Indonesian Exclusive Economic Zone","Andaman Sea","Indonesia",1.90385181520935,8.2923610758136
"101","Iranian Exclusive Economic Zone","Arabian Sea","Iran",2.12334876307677,2.23750106318884
"109","Japanese Exclusive Economic Zone","Eastern China Sea","Japan",0.86617972736042,3.99065871588867
"110","Jarvis Island Exclusive Economic Zone","North Pacific Ocean","United States",4.23813861920705,6.78828300064348
"112","Johnston Atoll Exclusive Economic Zone","North Pacific Ocean","United States",1.06408615505708,1.36224213243251
"114","Joint regime area Australia / Papua New Guinea","Coral Sea","Papua New Guinea",0.643972786216456,0.978553931178051
"125","Joint regime area Japan / Korea","Eastern China Sea","South Korea",0.934286478448544,3.083501493053
"134","Juan de Nova Exclusive Economic Zone","Mozambique Channel","France",0.621148247465874,0.900031849004052
"135","Kenyan Exclusive Economic Zone","Indian Ocean","Kenya",0.616611934385207,0.961784403759832
"137","Kiribati Exclusive Economic Zone (Gilbert Islands)","North Pacific Ocean","Kiribati",1.82903473881495,8.2923610758136
"138","Kiribati Exclusive Economic Zone (Line Islands)","North Pacific Ocean","Kiribati",2.29563815195816,8.2923610758136
"139","Kiribati Exclusive Economic Zone (Phoenix Islands)","North Pacific Ocean","Kiribati",4.48063811077501,4.61685259363954
"146","Madagascan Exclusive Economic Zone","Indian Ocean","Madagascar",0.742392461363348,2.6143503933415
"147","Malaysian Exclusive Economic Zone","Celebes Sea","Malaysia",1.76776550948945,5.93858869813585
"148","Maldives Exclusive Economic Zone","Arabian Sea","Maldives",0.533589504089619,1.23697211819852
"150","Marshall Islands Exclusive Economic Zone","North Pacific Ocean","Marshall Islands",0.584750943734228,3.49479279344802
"153","Mauritian Exclusive Economic Zone","Indian Ocean","Republic of Mauritius",0.371503567456377,1.13866583637038
"154","Mexican Exclusive Economic Zone","Caribbean Sea","Mexico",2.03188701492993,7.17941435439257
"155","Micronesian Exclusive Economic Zone","North Pacific Ocean","Micronesia",0.660849506312414,4.51135082551769
"160","Mozambican Exclusive Economic Zone","Indian Ocean","Mozambique",1.14747706621633,8.2923610758136
"161","Myanmar Exclusive Economic Zone","Andaman Sea","Myanmar",1.64874751359196,8.2923610758136
"164","New Caledonian Exclusive Economic Zone","Coral Sea","France",0.134054121305003,0.588660752059785
"165","New Zealand Exclusive Economic Zone","South Pacific Ocean","New Zealand",0.381972063947213,3.24253882306118
"166","Nicaraguan Exclusive Economic Zone","Caribbean Sea","Nicaragua",4.10923310337604,5.68994113120845
"168","Niue Exclusive Economic Zone","South Pacific Ocean","New Zealand",0.845442547359622,0.922374975065434
"169","Norfolk Island Exclusive Economic Zone","South Pacific Ocean","Australia",0.284541522231308,0.516799373732287
"170","North Korean Exclusive Economic Zone","Japan Sea","North Korea",1.07291983480201,1.79152516451707
"171","Northern Mariana Exclusive Economic Zone","North Pacific Ocean","United States",0.398134487218483,0.859009974332809
"173","Oecussi Ambeno Exclusive Economic Zone","Savu Sea","East Timor",0.417186664483579,0.478617722841065
"174","Omani Exclusive Economic Zone","Arabian Sea","Oman",1.76981607001829,2.23750106318884
"181","Overlapping claim Glorioso Islands: France / Madagascar","Indian Ocean","Madagascar",0.504825541841569,1.00327266577175
"185","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu","South Pacific Ocean","France",0.0760665580472236,0.0809349663127812
"186","Overlapping claim Mayotte: France / Comoros","Indian Ocean","France",0.319681767641437,0.407021244593066
"192","Overlapping claim Senkaku Islands: Japan / China / Taiwan","Eastern China Sea","Taiwan",1.25612876341938,2.7718380462912
"193","Overlapping claim South China Sea","South China Sea","China",1.51888936239393,4.31028782256871
"199","Overlapping claim: Kenya / Somalia","Indian Ocean","Kenya",0.597584619986996,0.649019559372279
"205","Pakistani Exclusive Economic Zone","Arabian Sea","Pakistan",3.42091194088352,4.19684721554844
"206","Palau Exclusive Economic Zone","North Pacific Ocean","Palau",0.278667905294534,0.564614032741852
"208","Palmyra Atoll Exclusive Economic Zone","North Pacific Ocean","United States",1.65397162402423,4.08446766174433
"209","Panamanian Exclusive Economic Zone","Caribbean Sea","Panama",3.45412392862862,5.74271842884711
"210","Papua New Guinean Exclusive Economic Zone","Arafura Sea","Papua New Guinea",0.552110616205072,5.02238494024219
"211","Peruvian Exclusive Economic Zone","South Pacific Ocean","Peru",1.83177093081484,2.1795700521944
"212","Philippines Exclusive Economic Zone","Celebes Sea","Philippines",1.80280294068893,5.93858869813585
"213","Pitcairn Islands Exclusive Economic Zone","South Pacific Ocean","United Kingdom",0.314926291642254,0.745995418057094
"220","R̩union Exclusive Economic Zone","Indian Ocean","France",0.762295917572219,1.13866583637038
"230","Samoan Exclusive Economic Zone","South Pacific Ocean","Samoa",0.0552817070180889,0.14103847529564
"232","Saudi Arabian Exclusive Economic Zone","Gulf of Aqaba","Saudi Arabia",0.744926286298865,0.758025315397966
"234","Seychellois Exclusive Economic Zone","Indian Ocean","Seychelles",0.420834783139995,1.08076351119205
"240","Solomon Islands Exclusive Economic Zone","Coral Sea","Solomon Islands",0.358893887889898,1.68960966114421
"241","Somali Exclusive Economic Zone","Arabian Sea","Federal Republic of Somalia",0.537182079303756,1.76645005583553
"242","South African Exclusive Economic Zone","Indian Ocean","South Africa",0.799031677069606,1.32889368800022
"244","South Korean Exclusive Economic Zone","Eastern China Sea","South Korea",0.8636366167951,3.99065871588867
"247","Sri Lankan Exclusive Economic Zone","Bay of Bengal","Sri Lanka",1.57659217516244,2.92666379721592
"254","Taiwanese Exclusive Economic Zone","Eastern China Sea","Taiwan",1.31593592587878,3.83689641641529
"255","Tanzanian Exclusive Economic Zone","Indian Ocean","Tanzania",0.526239190051823,1.10319846570562
"256","Thailand Exclusive Economic Zone","Andaman Sea","Thailand",1.70809549442353,5.81181608463546
"258","Tokelau Exclusive Economic Zone","South Pacific Ocean","New Zealand",0.144573028401531,0.179173274145741
"259","Tongan Exclusive Economic Zone","South Pacific Ocean","Tonga",0.673703468572207,2.2028811404108
"265","Tuvaluan Exclusive Economic Zone","South Pacific Ocean","Tuvalu",1.06276792224576,8.07657100413013
"266","United Arab Emirates Exclusive Economic Zone","Gulf of Oman","United Arab Emirates",2.10091719342002,2.19837759874004
"268","United States Exclusive Economic Zone","Bay of Fundy","United States",1.34147670194473,7.17941435439257
"270","United States Exclusive Economic Zone (Hawaii)","North Pacific Ocean","United States",1.23321197237513,7.17941435439257
"272","Vanuatu Exclusive Economic Zone","Coral Sea","Vanuatu",0.218813929370753,0.907281956370574
"274","Vietnamese Exclusive Economic Zone","Gulf of Thailand","Vietnam",1.27709249025808,3.7978084965158
"277","Wallis and Futuna Exclusive Economic Zone","South Pacific Ocean","France",0.764507138702762,8.20953615160139
"278","Yemeni Exclusive Economic Zone","Arabian Sea","Yemen",0.57081735123211,1.76645005583553
